id,waktu,isp_name,status,ping_ms,download_mbps,upload_mbps
10857,2026-05-22 20:52:50,Linknet,Tidak Ada Gangguan pada Jaringan,15.55,0.0,0.0
10858,2026-05-22 20:55:53,Linknet,SPEEDTEST,21.13,90.72,107.51
10859,2026-05-22 21:05:33,Linknet,SPEEDTEST,18.53,90.51,107.11
10860,2026-05-22 21:09:31,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
10861,2026-05-22 21:09:36,Linknet,Tidak Ada Gangguan pada Jaringan,15.7,0.0,0.0
10862,2026-05-22 21:10:34,Linknet,SPEEDTEST,16.98,99.45,102.79
10863,2026-05-22 21:15:37,Linknet,SPEEDTEST,20.1,91.52,105.52
10864,2026-05-22 21:20:39,Linknet,SPEEDTEST,14.53,96.87,104.14
10865,2026-05-22 21:25:49,Linknet,SPEEDTEST,17.86,57.83,98.36
10866,2026-05-22 21:30:43,Linknet,SPEEDTEST,19.68,87.0,1.24
10867,2026-05-22 21:35:48,Linknet,SPEEDTEST,15.78,12.88,108.09
10868,2026-05-22 21:40:53,Linknet,SPEEDTEST,14.89,88.35,107.67
10869,2026-05-22 21:46:05,Linknet,SPEEDTEST,18.79,86.88,62.6
10870,2026-05-22 21:51:03,Linknet,SPEEDTEST,19.29,87.55,107.44
10871,2026-05-22 21:56:03,Linknet,SPEEDTEST,18.85,88.77,3.34
10872,2026-05-22 22:05:27,Linknet,SPEEDTEST,15.57,7.6,105.35
10873,2026-05-22 22:10:30,Linknet,SPEEDTEST,15.65,87.58,105.62
10874,2026-05-22 22:15:40,Linknet,SPEEDTEST,18.44,97.73,57.94
10875,2026-05-22 22:20:34,Linknet,SPEEDTEST,25.13,98.43,6.87
10876,2026-05-22 22:25:35,Linknet,SPEEDTEST,19.22,86.22,7.18
10877,2026-05-22 22:30:38,Linknet,SPEEDTEST,19.07,89.62,106.15
10878,2026-05-22 22:35:43,Linknet,SPEEDTEST,19.72,86.86,8.87
10879,2026-05-22 22:40:43,Linknet,SPEEDTEST,12.86,93.2,41.74
10880,2026-05-22 22:45:43,Linknet,SPEEDTEST,15.42,92.4,109.49
10881,2026-05-22 22:50:57,Linknet,SPEEDTEST,13.13,79.74,60.8
10882,2026-05-22 22:55:49,Linknet,SPEEDTEST,14.71,93.07,107.97
10883,2026-05-22 23:05:27,Linknet,SPEEDTEST,13.06,91.45,108.42
10884,2026-05-22 23:10:31,Linknet,SPEEDTEST,16.02,92.2,109.43
10885,2026-05-22 23:15:33,Linknet,SPEEDTEST,12.14,94.07,107.74
10886,2026-05-22 23:20:35,Linknet,SPEEDTEST,13.37,90.52,109.89
10887,2026-05-22 23:25:39,Linknet,SPEEDTEST,12.36,95.93,108.92
10888,2026-05-22 23:30:44,Linknet,SPEEDTEST,12.08,92.27,108.76
10889,2026-05-22 23:35:46,Linknet,SPEEDTEST,16.98,91.22,108.46
10890,2026-05-22 23:40:48,Linknet,SPEEDTEST,13.77,95.03,109.61
10891,2026-05-22 23:45:50,Linknet,SPEEDTEST,16.4,91.45,108.44
10892,2026-05-22 23:50:57,Linknet,SPEEDTEST,15.9,50.74,109.33
10893,2026-05-22 23:55:54,Linknet,SPEEDTEST,14.08,89.66,108.16
10894,2026-05-23 00:05:29,Linknet,SPEEDTEST,16.11,92.1,109.33
10895,2026-05-23 00:10:32,Linknet,SPEEDTEST,15.97,91.1,107.06
10896,2026-05-23 00:15:33,Linknet,SPEEDTEST,13.91,93.11,109.19
10897,2026-05-23 00:20:37,Linknet,SPEEDTEST,16.06,95.76,108.24
10898,2026-05-23 00:24:33,Linknet,Akses Internet ke Luar Terganggu,2.37,0.0,0.0
10899,2026-05-23 00:24:38,Linknet,Tidak Ada Gangguan pada Jaringan,15.67,0.0,0.0
10900,2026-05-23 00:24:57,Linknet,Akses Internet ke Luar Terganggu,2.39,0.0,0.0
10901,2026-05-23 00:25:02,Linknet,Tidak Ada Gangguan pada Jaringan,15.7,0.0,0.0
10902,2026-05-23 00:25:42,Linknet,SPEEDTEST,15.51,92.63,108.58
10903,2026-05-23 00:30:44,Linknet,SPEEDTEST,13.24,93.91,109.09
10904,2026-05-23 00:35:49,Linknet,SPEEDTEST,12.59,92.07,16.77
10905,2026-05-23 00:40:53,Linknet,SPEEDTEST,15.65,93.59,57.12
10906,2026-05-23 00:45:52,Linknet,SPEEDTEST,15.46,1.81,106.31
10907,2026-05-23 00:50:56,Linknet,SPEEDTEST,14.46,94.22,82.14
10908,2026-05-23 00:55:56,Linknet,SPEEDTEST,14.95,95.36,108.45
10909,2026-05-23 01:04:59,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
10910,2026-05-23 01:05:04,Linknet,Tidak Ada Gangguan pada Jaringan,15.71,0.0,0.0
10911,2026-05-23 01:05:31,Linknet,SPEEDTEST,12.57,95.93,102.7
10912,2026-05-23 01:10:22,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
